Theta_now,V_trans,Lmot_RPM,Rmot_RPM,Output_lmot,Output_rmot,DN_Lmot,DN_Rmot
-1.72,0.13,1.96,2.14,-151.00,-151.00,27,29
-1.87,0.16,2.41,2.59,-169.00,-169.00,34,37
-2.35,0.19,2.88,3.07,-172.00,-172.00,42,45
-2.99,0.23,3.45,3.65,-166.00,-166.00,51,54
-4.34,0.27,4.03,4.23,-135.00,-135.00,61,64
-5.97,0.31,4.72,4.93,-105.00,-105.00,73,76
-7.85,0.35,5.37,5.53,-64.00,-64.00,85,88
-10.00,0.40,6.04,6.19,33.00,33.00,97,100
-12.23,0.43,6.56,6.69,77.00,77.00,109,112
-14.59,0.46,7.00,7.07,129.00,129.00,120,123
-15.83,0.47,7.20,7.17,103.00,103.00,130,131
-15.95,0.47,7.23,7.13,74.00,74.00,137,138
-15.35,0.46,7.11,6.99,-45.00,-45.00,143,144
-15.21,0.44,6.92,6.77,-56.00,-56.00,149,149
-15.14,0.44,6.82,6.61,-59.00,-59.00,155,154
-15.38,0.43,6.73,6.48,-51.00,-51.00,161,160
-16.29,0.43,6.68,6.42,43.00,43.00,168,166
-17.29,0.42,6.58,6.33,77.00,77.00,174,172
-18.54,0.41,6.42,6.17,110.00,110.00,179,177
-18.28,0.39,6.21,5.91,63.00,63.00,183,180
-17.81,0.37,5.92,5.58,40.00,40.00,187,183
-17.34,0.35,5.59,5.21,0.00,0.00,189,185
-17.25,0.33,5.29,4.86,0.00,0.00,192,186
-17.25,0.31,5.00,4.54,0.00,0.00,195,188
-17.43,0.29,4.76,4.25,54.00,54.00,197,190
-17.71,0.28,4.51,3.96,69.00,69.00,200,191
-17.83,0.26,4.26,3.67,67.00,67.00,202,192
-17.78,0.24,3.98,3.30,69.00,69.00,203,192
-17.75,0.21,3.63,2.95,76.00,76.00,203,192
-17.77,0.19,3.27,2.60,84.00,84.00,203,191
-17.58,0.17,2.92,2.27,85.00,85.00,203,190
-17.63,0.15,2.55,1.93,100.00,100.00,202,189
-17.66,0.12,2.18,1.59,111.00,111.00,201,188
-17.63,0.10,1.79,1.24,118.00,118.00,199,185
-17.25,0.07,1.40,0.88,112.00,112.00,197,183
-16.81,0.05,0.97,0.46,109.00,109.00,194,179
-16.51,0.02,0.54,0.00,112.00,112.00,190,176
-15.77,-0.01,0.11,-0.43,101.00,101.00,186,171
-15.24,-0.04,-0.33,-0.84,100.00,100.00,181,166
-14.62,-0.07,-0.77,-1.25,97.00,97.00,176,161
-14.14,-0.09,-1.19,-1.65,100.00,100.00,171,155
-13.51,-0.12,-1.62,-2.06,97.00,97.00,165,149
-12.57,-0.15,-2.03,-2.44,85.00,85.00,159,143
-12.08,-0.17,-2.42,-2.85,70.00,70.00,153,137
-11.45,-0.20,-2.85,-3.18,94.00,94.00,146,130
-10.80,-0.22,-3.21,-3.48,95.00,95.00,139,123
-10.03,-0.24,-3.58,-3.80,87.00,87.00,132,116
-9.40,-0.26,-3.91,-4.11,83.00,83.00,124,109
-8.84,-0.28,-4.30,-4.44,94.00,94.00,116,101
-8.13,-0.30,-4.63,-4.73,89.00,89.00,108,93
-7.13,-0.33,-5.00,-5.04,75.00,75.00,99,85
-6.10,-0.34,-5.31,-5.30,63.00,63.00,91,77
-4.93,-0.37,-5.66,-5.60,51.00,51.00,82,68
-4.22,-0.38,-5.88,-5.85,47.00,47.00,73,60
-3.43,-0.40,-6.17,-6.10,48.00,48.00,64,51
-2.80,-0.41,-6.36,-6.25,50.00,50.00,56,43
-2.09,-0.42,-6.56,-6.48,49.00,49.00,47,34
-1.12,-0.43,-6.70,-6.58,36.00,36.00,38,26
-0.55,-0.44,-6.88,-6.75,-39.00,-39.00,30,18
0.16,-0.45,-6.95,-6.83,33.00,33.00,22,10
0.72,-0.45,-6.95,-6.84,30.00,30.00,14,3
1.25,-0.45,-6.99,-6.87,31.00,31.00,7,-4
1.70,-0.45,-6.96,-6.87,40.00,40.00,0,-12
1.93,-0.45,-7.02,-6.92,51.00,51.00,-7,-19
2.06,-0.45,-7.01,-6.92,62.00,62.00,-15,-27
2.47,-0.46,-7.09,-6.94,51.00,51.00,-23,-34
3.27,-0.45,-7.10,-6.89,-32.00,-32.00,-30,-41
4.39,-0.45,-7.08,-6.87,0.00,0.00,-38,-48
5.03,-0.45,-7.01,-6.78,0.00,0.00,-44,-54
5.49,-0.45,-7.00,-6.76,0.00,0.00,-52,-61
6.09,-0.44,-6.97,-6.68,-64.00,-64.00,-59,-67
6.65,-0.44,-6.91,-6.63,-68.00,-68.00,-65,-73
6.72,-0.43,-6.74,-6.47,-52.00,-52.00,-71,-79
6.58,-0.42,-6.59,-6.25,0.00,0.00,-76,-83
6.40,-0.40,-6.39,-5.99,0.00,0.00,-81,-87
6.14,-0.39,-6.17,-5.76,45.00,45.00,-85,-91
6.17,-0.38,-6.03,-5.57,50.00,50.00,-90,-95
6.44,-0.37,-5.88,-5.42,38.00,38.00,-95,-99
6.97,-0.36,-5.79,-5.30,-37.00,-37.00,-101,-104
7.82,-0.35,-5.69,-5.15,-70.00,-70.00,-105,-108
8.07,-0.34,-5.57,-4.97,-60.00,-60.00,-110,-111
8.19,-0.33,-5.40,-4.76,-52.00,-52.00,-114,-114
7.96,-0.31,-5.17,-4.50,-40.00,-40.00,-117,-116
7.99,-0.30,-4.93,-4.19,-40.00,-40.00,-120,-118
7.93,-0.28,-4.68,-3.91,-38.00,-38.00,-122,-119
7.89,-0.26,-4.42,-3.62,-40.00,-40.00,-125,-120
7.71,-0.24,-4.17,-3.33,-36.00,-36.00,-126,-120
7.59,-0.22,-3.90,-3.02,-37.00,-37.00,-128,-121
7.48,-0.21,-3.63,-2.74,-37.00,-37.00,-129,-121
7.39,-0.19,-3.36,-2.44,-42.00,-42.00,-130,-121
7.38,-0.17,-3.09,-2.20,-45.00,-45.00,-131,-121
7.42,-0.16,-2.81,-1.98,-57.00,-57.00,-131,-121
7.39,-0.14,-2.53,-1.76,-63.00,-63.00,-131,-120
7.41,-0.12,-2.25,-1.53,-72.00,-72.00,-131,-120
7.51,-0.11,-1.98,-1.36,-82.00,-82.00,-130,-120
7.72,-0.09,-1.69,-1.15,-97.00,-97.00,-129,-119
7.66,-0.08,-1.40,-0.94,-97.00,-97.00,-128,-118
7.36,-0.06,-1.04,-0.70,-91.00,-91.00,-126,-116
7.18,-0.04,-0.73,-0.44,-94.00,-94.00,-123,-114
6.96,-0.02,-0.37,-0.16,-96.00,-96.00,-120,-111
6.54,0.00,0.00,0.12,-90.00,-90.00,-117,-109
5.97,0.02,0.33,0.41,-81.00,-81.00,-113,-105
5.51,0.05,0.68,0.73,-80.00,-80.00,-109,-102
4.87,0.07,1.02,1.04,-71.00,-71.00,-105,-98
4.43,0.08,1.32,1.29,-75.00,-75.00,-101,-94
3.93,0.10,1.62,1.59,-70.00,-70.00,-96,-89
3.46,0.12,1.88,1.82,-67.00,-67.00,-91,-85
2.70,0.14,2.17,2.06,-43.00,-43.00,-87,-81
2.29,0.15,2.41,2.28,-63.00,-63.00,-82,-76
1.84,0.16,2.57,2.46,-60.00,-60.00,-78,-72
1.67,0.18,2.79,2.64,-70.00,-70.00,-73,-68
1.33,0.19,2.91,2.78,-67.00,-67.00,-68,-63
0.74,0.20,3.10,2.93,-60.00,-60.00,-63,-59
0.32,0.20,3.24,3.07,-58.00,-58.00,-59,-54
-0.19,0.21,3.39,3.19,-52.00,-52.00,-54,-50
-0.66,0.22,3.53,3.27,-50.00,-50.00,-49,-45
-1.19,0.23,3.65,3.37,-43.00,-43.00,-44,-41
-1.65,0.23,3.74,3.47,-38.00,-38.00,-39,-37
-1.94,0.24,3.79,3.52,-41.00,-41.00,-34,-32
-2.19,0.24,3.84,3.55,-44.00,-44.00,-30,-28
-2.59,0.24,3.89,3.60,-39.00,-39.00,-25,-24
-2.92,0.24,3.91,3.63,-39.00,-39.00,-21,-20
-3.28,0.25,3.94,3.69,-30.00,-30.00,-17,-16
-3.64,0.25,3.97,3.72,-32.00,-32.00,-12,-11
-3.91,0.25,3.96,3.71,-33.00,-33.00,-8,-8
-4.09,0.25,3.97,3.74,-37.00,-37.00,-4,-3
-4.42,0.25,3.97,3.75,-33.00,-33.00,0,0
-4.79,0.25,3.96,3.75,31.00,31.00,4,4
-5.12,0.25,3.94,3.74,34.00,34.00,7,8
-5.52,0.24,3.86,3.67,0.00,0.00,11,11
-5.77,0.24,3.73,3.52,0.00,0.00,13,13
-5.78,0.23,3.65,3.43,0.00,0.00,16,16
-5.61,0.22,3.57,3.30,0.00,0.00,19,18
-5.36,0.22,3.47,3.18,-52.00,-52.00,22,20
-5.11,0.21,3.39,3.06,-66.00,-66.00,25,22
-4.92,0.21,3.36,3.01,-72.00,-72.00,28,25
-5.54,0.20,3.28,2.97,-30.00,-30.00,31,28
-6.10,0.20,3.29,2.94,41.00,41.00,34,30
-6.63,0.20,3.23,2.85,0.00,0.00,37,33
-7.23,0.19,3.16,2.76,77.00,77.00,40,34
-7.11,0.18,3.08,2.61,52.00,52.00,42,36
-6.81,0.17,2.91,2.44,0.00,0.00,44,37
-6.59,0.16,2.72,2.24,0.00,0.00,45,37
-6.32,0.15,2.54,2.04,0.00,0.00,45,37
-6.01,0.14,2.34,1.84,-49.00,-49.00,46,37
-5.74,0.13,2.20,1.68,-53.00,-53.00,47,38
-5.49,0.12,2.12,1.58,-62.00,-62.00,49,39
-6.07,0.12,2.07,1.54,-30.00,-30.00,50,40
-6.86,0.11,1.99,1.51,70.00,70.00,52,41
-7.33,0.11,1.86,1.40,89.00,89.00,52,41
-7.21,0.10,1.74,1.19,62.00,62.00,53,41
-6.71,0.08,1.55,1.05,37.00,37.00,52,40
-6.67,0.07,1.30,0.85,51.00,51.00,51,39
-6.43,0.06,1.10,0.67,41.00,41.00,51,38
-6.36,0.05,0.89,0.51,48.00,48.00,50,37
-6.35,0.04,0.73,0.38,54.00,54.00,49,36
-6.24,0.03,0.58,0.25,59.00,59.00,48,36
-6.16,0.02,0.43,0.15,60.00,60.00,47,35
-5.93,0.01,0.29,0.00,55.00,55.00,46,34
-5.63,0.00,0.14,-0.12,48.00,48.00,45,32
-5.46,-0.01,0.00,-0.20,50.00,50.00,44,31
-5.26,-0.01,-0.12,-0.30,46.00,46.00,42,30
-4.97,-0.02,-0.25,-0.37,42.00,42.00,41,29
-4.78,-0.02,-0.34,-0.42,40.00,40.00,40,28
-4.65,-0.03,-0.43,-0.50,41.00,41.00,38,27
-4.60,-0.03,-0.50,-0.55,46.00,46.00,37,26
-4.57,-0.04,-0.57,-0.59,48.00,48.00,36,25
-4.51,-0.04,-0.63,-0.65,49.00,49.00,35,24
-4.45,-0.04,-0.67,-0.70,52.00,52.00,34,23
-4.37,-0.05,-0.74,-0.75,51.00,51.00,32,21
-4.30,-0.05,-0.80,-0.79,52.00,52.00,31,20
-4.08,-0.05,-0.85,-0.83,42.00,42.00,29,19
-3.91,-0.06,-0.91,-0.89,45.00,45.00,28,17
-3.70,-0.06,-0.93,-0.97,43.00,43.00,27,15
-3.48,-0.07,-0.98,-1.02,38.00,38.00,25,14
-3.27,-0.07,-1.03,-1.08,36.00,36.00,24,12
-3.12,-0.07,-1.07,-1.09,35.00,35.00,22,11
-2.93,-0.07,-1.08,-1.13,32.00,32.00,21,9
-2.81,-0.07,-1.09,-1.13,0.00,0.00,20,8
-2.81,-0.07,-1.10,-1.11,37.00,37.00,18,7
-2.79,-0.07,-1.09,-1.10,41.00,41.00,17,6
-2.79,-0.07,-1.07,-1.08,42.00,42.00,16,5
-2.76,-0.07,-1.08,-1.07,43.00,43.00,15,4
-2.79,-0.07,-1.07,-1.03,45.00,45.00,14,3
-2.71,-0.07,-1.08,-1.00,42.00,42.00,13,3
-2.59,-0.07,-1.09,-0.99,38.00,38.00,12,2
-2.52,-0.07,-1.08,-0.97,37.00,37.00,11,1
-2.49,-0.07,-1.09,-0.97,38.00,38.00,9,0
-2.41,-0.07,-1.08,-0.94,38.00,38.00,8,0
-2.28,-0.07,-1.09,-0.94,34.00,34.00,7,-1
-2.18,-0.07,-1.07,-0.94,33.00,33.00,6,-2
-2.12,-0.06,-1.04,-0.92,0.00,0.00,5,-3
-2.10,-0.06,-1.03,-0.90,0.00,0.00,5,-3
-2.18,-0.06,-0.97,-0.83,41.00,41.00,4,-4
-2.21,-0.05,-0.90,-0.77,42.00,42.00,4,-4
-2.28,-0.05,-0.86,-0.70,42.00,42.00,3,-4
-2.22,-0.05,-0.82,-0.63,37.00,37.00,3,-4
-2.20,-0.05,-0.81,-0.59,36.00,36.00,2,-4
-2.09,-0.04,-0.75,-0.53,0.00,0.00,2,-4
-1.89,-0.04,-0.75,-0.48,0.00,0.00,1,-4
-1.59,-0.04,-0.70,-0.43,-58.00,-58.00,1,-4
-1.12,-0.03,-0.63,-0.39,-82.00,-82.00,1,-4
-0.41,-0.02,-0.47,-0.26,-118.00,-118.00,2,-3
-0.48,-0.01,-0.23,0.00,-104.00,-104.00,4,-1
-0.69,0.01,0.00,0.21,-93.00,-93.00,6,1
-0.97,0.02,0.29,0.48,-98.00,-98.00,9,4
-1.07,0.04,0.59,0.76,-112.00,-112.00,13,8
-1.33,0.06,0.91,1.07,-111.00,-111.00,17,12
-1.27,0.09,1.27,1.41,-129.00,-129.00,22,17
-1.85,0.11,1.64,1.77,-122.00,-122.00,27,22
-2.05,0.14,2.07,2.19,-136.00,-136.00,34,28
-2.62,0.17,2.51,2.61,-137.00,-137.00,41,35
-3.29,0.20,3.02,3.09,-142.00,-142.00,49,43
-4.13,0.23,3.50,3.59,-140.00,-140.00,57,52
-4.50,0.27,4.06,4.11,-161.00,-161.00,67,61
-4.95,0.30,4.58,4.65,-180.00,-180.00,77,71
-5.43,0.34,5.19,5.30,-191.00,-191.00,88,83
-6.61,0.38,5.83,5.91,-178.00,-178.00,101,96
-8.21,0.43,6.55,6.67,-105.00,-105.00,114,109
-10.02,0.48,7.32,7.36,-137.00,-137.00,129,124
-11.75,0.52,7.92,7.98,-124.00,-124.00,143,138
-13.35,0.56,8.60,8.65,-110.00,-110.00,159,154
-14.92,0.60,9.17,9.22,-54.00,-54.00,174,169
-16.79,0.64,9.80,9.84,75.00,75.00,190,185
-18.94,0.67,10.22,10.26,155.00,155.00,205,200
-20.86,0.68,10.48,10.47,203.00,203.00,218,212
-20.29,0.67,10.36,10.28,112.00,112.00,227,220
-18.27,0.64,9.99,9.82,-72.00,-72.00,234,226
-15.71,0.61,9.57,9.34,-173.00,-173.00,240,232
-13.35,0.60,9.32,9.07,-237.00,-237.00,248,239
-13.51,0.59,9.22,9.02,-164.00,-164.00,256,248
-14.75,0.60,9.37,9.14,-75.00,-75.00,268,259
-16.34,0.61,9.58,9.30,54.00,54.00,280,271
-18.25,0.63,9.81,9.49,131.00,131.00,292,282
-19.74,0.62,9.78,9.38,174.00,174.00,303,291
-20.17,0.61,9.58,9.06,141.00,141.00,310,297
-18.80,0.57,9.17,8.51,36.00,36.00,315,300
-17.13,0.54,8.58,7.90,-101.00,-101.00,319,302
-15.74,0.50,8.10,7.37,-135.00,-135.00,323,305
-14.85,0.48,7.82,7.04,-150.00,-150.00,329,310
-15.54,0.47,7.63,6.84,-63.00,-63.00,335,315
-16.73,0.46,7.58,6.68,50.00,50.00,343,321
-18.45,0.46,7.56,6.58,123.00,123.00,350,327
-19.54,0.45,7.40,6.33,157.00,157.00,356,331
-19.37,0.42,7.11,5.93,98.00,98.00,361,333
-18.81,0.39,6.69,5.46,52.00,52.00,363,334
-17.77,0.36,6.18,4.93,-45.00,-45.00,365,334
-17.18,0.33,5.73,4.44,-53.00,-53.00,367,334
-17.10,0.31,5.35,4.04,-41.00,-41.00,369,335
-17.47,0.29,5.04,3.73,0.00,0.00,372,336
-18.17,0.27,4.79,3.48,80.00,80.00,374,337
-18.81,0.25,4.50,3.23,101.00,101.00,376,338
-18.74,0.23,4.07,2.93,84.00,84.00,376,338
-19.14,0.20,3.69,2.54,97.00,97.00,376,337
-19.19,0.18,3.27,2.22,95.00,95.00,375,336
-19.52,0.15,2.85,1.85,107.00,107.00,374,335
-19.67,0.13,2.40,1.52,112.00,112.00,373,333
-19.98,0.10,1.94,1.18,122.00,122.00,370,331
-19.93,0.08,1.49,0.85,114.00,114.00,367,329
-19.87,0.05,1.01,0.48,111.00,111.00,364,325
-19.67,0.02,0.53,0.12,103.00,103.00,360,322
-19.56,-0.01,0.00,-0.27,102.00,102.00,355,318
-19.34,-0.03,-0.43,-0.62,104.00,104.00,351,314
-19.38,-0.06,-0.86,-0.99,117.00,117.00,346,310
-19.40,-0.08,-1.27,-1.32,124.00,124.00,341,305
-19.13,-0.11,-1.69,-1.71,121.00,121.00,335,299
-18.91,-0.14,-2.09,-2.08,124.00,124.00,328,293
-18.81,-0.16,-2.53,-2.50,115.00,115.00,322,287
-18.57,-0.19,-2.97,-2.94,125.00,125.00,314,280
-18.27,-0.22,-3.41,-3.34,127.00,127.00,307,272
-17.85,-0.25,-3.85,-3.79,120.00,120.00,298,264
-17.66,-0.28,-4.30,-4.22,116.00,116.00,289,255
-17.59,-0.31,-4.78,-4.68,134.00,134.00,280,246
-17.41,-0.33,-5.20,-5.09,134.00,134.00,270,237
-17.44,-0.37,-5.68,-5.56,157.00,157.00,260,226
-16.82,-0.39,-6.14,-6.00,164.00,164.00,249,216
-16.57,-0.43,-6.66,-6.52,184.00,184.00,237,204
-15.95,-0.46,-7.16,-7.03,193.00,193.00,224,192
-14.55,-0.50,-7.80,-7.64,179.00,179.00,210,177
-13.31,-0.54,-8.38,-8.23,170.00,170.00,195,163
-11.88,-0.58,-9.04,-8.88,160.00,160.00,179,147
-10.38,-0.62,-9.63,-9.46,145.00,145.00,163,131
-8.94,-0.66,-10.27,-10.12,97.00,97.00,147,115
-7.22,-0.70,-10.93,-10.70,130.00,130.00,129,98
-5.73,-0.74,-11.43,-11.23,88.00,88.00,112,82
-4.04,-0.77,-12.03,-11.72,120.00,120.00,94,64
-2.35,-0.80,-12.44,-12.14,105.00,105.00,77,48
-0.62,-0.83,-12.93,-12.59,90.00,90.00,58,30
1.05,-0.85,-13.33,-12.93,71.00,71.00,41,14
2.63,-0.88,-13.78,-13.32,67.00,67.00,22,-3
4.40,-0.90,-14.07,-13.61,45.00,45.00,5,-20
6.36,-0.92,-14.42,-13.89,-46.00,-46.00,-13,-38
8.50,-0.93,-14.60,-14.00,-84.00,-84.00,-30,-53
10.50,-0.93,-14.68,-14.03,-113.00,-113.00,-46,-68
10.57,-0.92,-14.57,-13.88,-36.00,-36.00,-60,-81
10.42,-0.92,-14.42,-13.73,72.00,72.00,-73,-94
10.31,-0.90,-14.17,-13.50,97.00,97.00,-86,-106
10.38,-0.89,-14.08,-13.39,90.00,90.00,-100,-119
11.17,-0.89,-13.99,-13.27,51.00,51.00,-115,-133
12.26,-0.89,-14.04,-13.22,-62.00,-62.00,-129,-145
13.82,-0.88,-14.02,-13.11,-129.00,-129.00,-144,-158
14.02,-0.86,-13.76,-12.85,-112.00,-112.00,-155,-169
12.91,-0.84,-13.36,-12.44,36.00,36.00,-165,-178
12.18,-0.81,-12.90,-12.01,67.00,67.00,-175,-186
11.57,-0.79,-12.56,-11.64,79.00,79.00,-185,-195
11.39,-0.77,-12.26,-11.31,71.00,71.00,-195,-204
11.99,-0.75,-12.08,-11.08,-33.00,-33.00,-206,-213
12.92,-0.74,-11.87,-10.83,-78.00,-78.00,-216,-222
14.23,-0.72,-11.64,-10.53,-133.00,-133.00,-226,-230
13.86,-0.70,-11.26,-10.17,-72.00,-72.00,-234,-237
13.12,-0.67,-10.84,-9.70,31.00,31.00,-241,-243
12.69,-0.64,-10.38,-9.23,0.00,0.00,-248,-248
12.29,-0.61,-10.01,-8.83,48.00,48.00,-255,-253
12.11,-0.59,-9.62,-8.42,40.00,40.00,-261,-259
12.24,-0.57,-9.36,-8.16,30.00,30.00,-268,-264
12.71,-0.55,-9.11,-7.91,-55.00,-55.00,-276,-271
13.53,-0.54,-8.84,-7.62,-91.00,-91.00,-283,-276
13.63,-0.52,-8.60,-7.33,-77.00,-77.00,-289,-281
13.64,-0.49,-8.22,-6.98,-70.00,-70.00,-294,-284
13.73,-0.47,-7.80,-6.57,-67.00,-67.00,-298,-287
13.11,-0.44,-7.33,-6.15,-39.00,-39.00,-301,-290
12.92,-0.41,-6.88,-5.72,-38.00,-38.00,-304,-292
12.70,-0.38,-6.43,-5.32,0.00,0.00,-306,-293
12.77,-0.36,-6.00,-4.95,-42.00,-42.00,-309,-295
12.81,-0.33,-5.62,-4.58,-47.00,-47.00,-311,-297
13.08,-0.31,-5.24,-4.26,-60.00,-60.00,-313,-298
13.28,-0.29,-4.86,-3.93,-67.00,-67.00,-314,-299
13.36,-0.26,-4.47,-3.56,-66.00,-66.00,-315,-299
13.67,-0.24,-4.07,-3.21,-79.00,-79.00,-316,-299
13.96,-0.21,-3.66,-2.86,-89.00,-89.00,-316,-298
14.24,-0.19,-3.25,-2.51,-102.00,-102.00,-315,-298
14.64,-0.16,-2.85,-2.18,-119.00,-119.00,-314,-297
14.80,-0.14,-2.45,-1.84,-120.00,-120.00,-313,-296
15.19,-0.11,-2.01,-1.52,-132.00,-132.00,-311,-294
15.45,-0.09,-1.53,-1.15,-136.00,-136.00,-308,-292
15.56,-0.06,-1.04,-0.75,-132.00,-132.00,-304,-289
15.54,-0.03,-0.53,-0.34,-127.00,-127.00,-299,-285
15.42,0.00,0.00,0.00,-120.00,-120.00,-294,-281
15.25,0.03,0.57,0.45,-125.00,-125.00,-288,-276
15.02,0.06,1.08,0.88,-125.00,-125.00,-282,-271
14.78,0.10,1.64,1.37,-124.00,-124.00,-275,-265
14.53,0.13,2.14,1.82,-126.00,-126.00,-268,-258
13.67,0.16,2.69,2.31,-108.00,-108.00,-260,-251
13.59,0.19,3.16,2.74,-115.00,-115.00,-252,-244
13.03,0.22,3.68,3.21,-123.00,-123.00,-243,-236
12.82,0.25,4.15,3.66,-146.00,-146.00,-234,-228
12.06,0.28,4.63,4.09,-113.00,-113.00,-225,-220
10.92,0.31,5.10,4.56,-125.00,-125.00,-215,-210
10.14,0.34,5.54,4.99,-129.00,-129.00,-205,-201
9.30,0.37,6.01,5.46,-129.00,-129.00,-194,-191
8.24,0.40,6.43,5.89,-90.00,-90.00,-183,-181
7.11,0.43,6.93,6.37,-119.00,-119.00,-172,-169
